count	initial_query	fixed_by_prod_model
2	Джерджи армани	джерджи armani
3	Диор эдикт	dior эдикт
5	Тушь лумене	тушь lumene
1	пако рабан олимпия	paco рабан олимпия
1	кельвин klein эйфория духи	calvin klein эйфория духи
1	Dr.jart microfoam	dr.jart micro foam
1	Door capture totale dream skin	door capture totale dreamskin
4	помада пупа	помада pupa
4	Noni care	nonicare
1	Наличие крема люмине базис блу в магазине	наличие крема люмине базис blue в магазине
3	Туш chanel	touch chanel
2	Набор косметик	набор cosmetic
1	SABOVIVIENNE	sabo vivienne
1	мега	mega
1	Гельлак	гель лак
3	Loreal дерма генезис	loreal derma генезис
1	Мэри ми	мэри me
10	Биотерм	biotherm
1	Chanel серум	chanel serum
1	каролина ерера	carolina ерера
1	Лореал блеск для губн	loreal блеск для губн
1	La prairie cellular 3 minute	la prairie cellular 3-minute
1	Bb крем холика холика	bb крем holika holika
5	дживанши плей	givenchy play
1	Супернова	supernova
2	Пако рабанне	paco rabanne
1	парфюм левый берег	parfum левый берег
2	Краски лореаль	краски l'oreal
1	офвщку	jadore
1	Тональный крем том форм	тональный крем tom форм
4	Ultramatte	ultra matte
3	Энви ми	envy me
1	Chanel lecrayon	chanel le crayon
1	Фор ши	for ши
1	Тру	true
2	Nyx лондон	nyx london
1	герлен жики духи	guerlain жики духи
1	Кензо одеколон	kenzo одеколон
1	фкеупщ	artego
1	Парфюм блек опиум	parfum black опиум
1	Луна нина	luna nina
1	аква бургари	aqua бургари
1	biotherm aqua source	biotherm aquasource
2	Босс тоник	boss тоник
1	la в и эсте э бель	la в и estee э belle
1	rouge Alevres	rouge a levres
2	Чанел	chanel
2	Спонж мейбелин	спонж maybelline
1	Килиан мужск	kilian мужск
2	Мен 212	men 212
1	 NYX Lid Lingerie LIDLI 02	nyx lid lingerie lidli 02
1	L’Oréal unlimited	l’ oréal unlimited
