count	initial_query	fixed_by_prod_model
1	Кисть из волса козы	Кисть из волса козы
1	Крем для лица ночно	Крем для лица ночно
1	Ciare	Ciare
1	Твердыней шампунь	Твердыней шампунь
1	Шанэль духи	Шанэль духи
2	chanal	chanal
1	Nix lip	Nix lip
1	seche vite	seche vite
1	suav	suav
1	Сладкые духи	Сладкые духи
1	Маска от прыщец	Маска от прыщец
3	Benefi	Benefi
2	Блёс	Блёс
2	Fl	Fl
1	gucii flora	gucii flora
1	PAC RABANNE OLYMPEA	PAC RABANNE OLYMPEA
1	Идилия парфюмерн	Идилия парфюмерн
3	Резинки для аолос	Резинки для аолос
4	Эфория	Эфория
1	Сальвадор Дали голубая логуна	Сальвадор Дали голубая логуна
1	Rimmel lastin	Rimmel lastin
2	Молина	Молина
7	Кансилер	Кансилер
1	Maschino pink	Maschino pink
2	Acqua di gioa	Acqua di gioa
1	Парфюмерная мужска	Парфюмерная мужска
1	YDL	YDL
1	Chaharel	Chaharel
1	Floverbomb	Floverbomb
1	oskar de laurent	oskar de laurent
1	loreall	loreall
1	ectee	ectee
1	Moto bene	Moto bene
2	Amir amor	Amir amor
12	Burbarry	Burbarry
1	essance	essance
1	Lodeal	Lodeal
1	cartier declarati	cartier declarati
2	Linerr feuter	Linerr feuter
2	Invisibl	Invisibl
1	Teazzura	Teazzura
1	Лля интимной гигиены	Лля интимной гигиены
1	солнц	солнц
2	Sven	Sven
1	Clarind	Clarind
1	la praire parfum	la praire parfum
1	Issey miuake	Issey miuake
1	Serhe	Serhe
2	Ласьон для тела	Ласьон для тела
1	Mabelline хайлайтер	Mabelline хайлайтер
4	Canali	Canali
2	Shiseido AEE	Shiseido AEE
1	nina ricci florale	nina ricci florale
1	палетка дя глаз	палетка дя глаз
3	Annick	Annick
1	Ахалпожа	Ахалпожа
2	Блеск для губ eva mosaic	Блеск для губ eva mosaic
1	PUPA Тушь для ресниц водостойкая VAMP! MASCARA WATERPROOF	PUPA Тушь для ресниц водостойкая VAMP! MASCARA WATERPROOF
3	Loreal bronze	Loreal bronze
2	Sisley лосьон	Sisley лосьон
1	ardeko	ardeko
1	Тон для лица	Тон для лица
1	Духи s	Духи s
1	Alure Home	Alure Home
1	Essay	Essay
1	Основа для лица	Основа для лица
1	Molekul N1	Molekul N1
2	Спрей dior	Спрей dior
1	Guess Seductive Homme Blue	Guess Seductive Homme Blue
1	Масло бея	Масло бея
1	помада 12 часов	помада 12 часов
2	Палетка Nude look	Палетка Nude look
1	Amber and Roses	Amber and Roses
2	fucking	fucking
1	Estee lauder тональные средства	Estee lauder тональные средства
1	Серия Givenchy Girl	Серия Givenchy Girl
3	NYX professional makeup soft matte lip creamy	NYX professional makeup soft matte lip creamy
1	Yves Rocher Magnolia	Yves Rocher Magnolia
1	MAGIC CONCEALER	MAGIC CONCEALER
1	Тойтбел	Тойтбел
4	Before midnight	Before midnight
2	Suede Cream	Suede Cream
1	Big ache	Big ache
1	Colirista	Colirista
1	lisa	lisa
1	black caviar	black caviar
1	Loews	Loews
5	Mac chili	Mac chili
1	Parfums genty like	Parfums genty like
1	lumine вокруг	lumine вокруг
1	Антивозрастная Косметика для лица	Антивозрастная Косметика для лица
1	Dior туалетная вода мужская	Dior туалетная вода мужская
9	Laneige	Laneige
1	Colorfast	Colorfast
1	Крема для лица наборы	Крема для лица наборы
1	BB 3 estee	BB 3 estee
1	eos бальзам	eos бальзам
2	aqua di parma colonia	aqua di parma colonia
1	Lancôme boxing	Lancôme boxing
13	shiseido synchro skin glow	shiseido synchro skin glow
1	clinique чувствительной кожи	clinique чувствительной кожи
1	Luxvisage Perfect Color	Luxvisage Perfect Color
1	Lancome odazur	Lancome odazur
