initial_query	fixed_by_prod_model
45	Зинфандель	zinfandel
4	 Late-Bottled Vintage	late-bottled vintage
0	Perde blokke	perdeblokke
1	луи	louis
11	Мондоро	mondoro
0	Pierre Laforest  La Clape Languedoc	pierre laforest la clape languedoc
23	брют	brut
0	 2011 La Chapelle de Potensac, MEDOC, FRANCE	2011 la chapelle de potensac, medoc, france
41	Белуга	beluga
19	Семигорье	semigorye
0	Авиво	aviva
13	 де Ситран	де ситран
2	спельта	spelta
0	avivo	aviva
45	Брют	brut
38	Фанагория	fanagoria
0	Санузен комфорт	санузен comfort
15	каннонау	cannonau
45	гевюрцтраминер	gewurztraminer
22	макаллан	macallan
3	кампари	campari
45	Шабли	chablis
28	амаретто	amaretto
3	 acquesi asti	acquesi asti
23	мухрани	mukhrani
0	Блю круасао	blue круасао
4	пунш	punch
0	Avivo	aviva
0	ром баккарди	ром bacardi
25	реми марти	remy март и
20	 Cava	cava
16	кардинал	cardinal
0	Сфтеш	canti
45	Ламбруско	lambrusco
9	 Sauza	sauza
4	Шериданс	sheridan's
3	перно ре	perno ре
0	  Chateau Lafont Bordeaux 2016	chateau lafont bordeaux 2016
39	Лансон	lanson
13	Фраголино	fragolino
0	баккарди	bacardi
45	Асти	asti
0	petnat	pet nat
35	матсу	matsu
45	Мегобари	megobari
45	асканели	askaneli
45	мартини	martini
2	шато тамань рислинг	шато тамань riesling
0	 Barale Fratelli	barale fratelli
5	Апаран	aparan
4	Мальвазия	malvasia
1	Mint’s	mint’ s
19	ламбруско	lambrusco
0	москато	moscato
33	спуманте	spumante
41	белуга	beluga
38	хеннесси	hennessy
45	Кава	cava
34	самбука	sambuca
2	 Santa Muerte	santa muerte
0	ballantines	ballantine s
3	 Elegance Grande Champagne	elegance grande champagne
0	 Россо ди Монтальчино 2015 Паченти	россо ди монтальчино 2015 паченти
45	шираз	shiraz
