initial_query	fixed_by_prod_model
13	лев голицын	лев голицын
1	Abrau-Durso Imperial Brut L’Art Nouveau 3L (Абрау-Дюрсо Империал Брют Л'Арт Нуво 3 л) в подарочной упаковке	Abrau-Durso Imperial Brut L’Art Nouveau 3L (Абрау-Дюрсо Империал Брют Л'Арт Нуво 3 л) в подарочной упаковке
0	Маккалан	Маккалан
0	Mauntin view	Mauntin view
9	Martini asti	Martini asti
45	brut	brut
7	Медовуха	Медовуха
0	малвасия вино	малвасия вино
0	le masserie rosso	le masserie rosso
40	Абрау Дюрсо	Абрау Дюрсо
0	Миниатюры	Миниатюры
0	KC (Pinot Noir)	KC (Pinot Noir)
0	vall de juy	vall de juy
1	Vega Sicilia Valbuena 5° 2013 1,5L (Вега Сицилия Вальбуэна 5° 2013 1,5 л)	Vega Sicilia Valbuena 5° 2013 1,5L (Вега Сицилия Вальбуэна 5° 2013 1,5 л)
18	Chateau d'Yquem	Chateau d'Yquem
6	Chateau Guiraud	Chateau Guiraud
42	ВЕрмут	ВЕрмут
4	brugal	brugal
2	aquavit	aquavit
45	Крю Буржуа	Крю Буржуа
45	Chateau Tamagne	Chateau Tamagne
1	mavam	mavam
11	Jagermeister	Jagermeister
19	Jack Daniels	Jack Daniels
45	Asti	Asti
1	Floris Fraise	Floris Fraise
0	Lovrano	Lovrano
45	Пино гриджо	Пино гриджо
4	Aviva	Aviva
0	Crystal Brut	Crystal Brut
3	Mondoro	Mondoro
0	Suvorov vin	Suvorov vin
0	Most Wonderful Time 4 A Beer	Most Wonderful Time 4 A Beer
0	sigalas	sigalas
31	arvest	arvest
10	Bacalhoa	Bacalhoa
0	Up2up	Up2up
39	Lanson	Lanson
1	белуга эпикур	белуга эпикур
35	Moet ch	Moet ch
2	Sovinon blan	Sovinon blan
19	чивас ригал	чивас ригал
3	Redoma	Redoma
22	креман де бургонь	креман де бургонь
3	Chateau Petrus 2007	Chateau Petrus 2007
14	1964	1964
0	0.187	0.187
29	Бальзам	Бальзам
45	Moscato	Moscato
1	ar1117	ar1117
8	chartreuse	chartreuse
1	d347	d347
4	Casillero del Diablo	Casillero del Diablo
2	Cono Sur Bicicleta Merlo	Cono Sur Bicicleta Merlo
0	киндзмараули	киндзмараули
0	Айгешат	Айгешат
34	Sambuca	Sambuca
1	wd01374	wd01374
0	chianti san paolo	chianti san paolo
16	качел	качел
1	АЛТА20312	АЛТА20312
45	pinotage	pinotage
45	Imperial	Imperial
1	Caperdonich	Caperdonich
1	barbe ruby	barbe ruby
7	КАЛАШНИКОВ	КАЛАШНИКОВ
1	Argiano NC	Argiano NC
5	Acquesi	Acquesi
4	фанагория 100 оттенков	фанагория 100 оттенков
19	золотая балка	золотая балка
11	егермейстер	егермейстер
30	Charmes Chambertin Grand Cru	Charmes Chambertin Grand Cru
1	Appleton	Appleton
0	Selbach “incline”	Selbach “incline”
26	Remy martin	Remy martin
3	Cru Cuvee des Alouettes	Cru Cuvee des Alouettes
2	гран торино	гран торино
