searchstring;productcount;eventdate;fixed;is_fixed;brands_fixed;layout_fixed;spaces_fixed;typos_fixed;;
Зинфандель;45;31.12.2018;zinfandel;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014608874;1
лев голицын;13;31.12.2018;лев голицын;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,02295262;1
Abrau-Durso Imperial Brut L’Art Nouveau 3L (Абрау-Дюрсо Империал Брют Л'Арт Нуво 3 л) в подарочной упаковке;1;31.12.2018;Abrau-Durso Imperial Brut L’Art Nouveau 3L (Абрау-Дюрсо Империал Брют Л'Арт Нуво 3 л) в подарочной упаковке;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007492245;1
Маккалан;0;31.12.2018;маккалан;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001787965;1
Mauntin view;0;31.12.2018;mauntin view;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017391635;1
Martini asti;9;30.12.2018;martini asti;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022345675;1
brut;45;30.12.2018;brut;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,003343621;1
Медовуха;7;30.12.2018;медовуха;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008226387;1
малвасия вино;0;30.12.2018;малвасия вино;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,016925945;1
le masserie rosso;0;30.12.2018;le masseria rosso;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,015317515;1
Абрау Дюрсо;40;30.12.2018;абрау дюрсо;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019140207;1
Миниатюры;0;30.12.2018;миниатюры;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,019938896;1
 Late-Bottled Vintage;4;30.12.2018;late-bottled vintage;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00496591;1
KC (Pinot Noir);0;30.12.2018;kc (pinot noir);ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023143261;1
Perde blokke;0;30.12.2018;perdeblokke;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;0,025964649;1
vall de juy;0;30.12.2018;vall de joy;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;0,015241596;1
Vega Sicilia Valbuena 5° 2013 1,5L (Вега Сицилия Вальбуэна 5° 2013 1,5 л);1;30.12.2018;Vega Sicilia Valbuena 5° 2013 1,5L (Вега Сицилия Вальбуэна 5° 2013 1,5 л);ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020901152;1
Chateau d'Yquem;18;30.12.2018;chateau d'yquem;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,014235116;1
Chateau Guiraud;6;30.12.2018;chateau guiraud;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022821082;1
луи;1;30.12.2018;louis;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,017150746;1
ВЕрмут;42;30.12.2018;вермут;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022390454;1
brugal;4;30.12.2018;brugal;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022457601;1
Мондоро;11;30.12.2018;mondoro;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000119483;1
aquavit;2;30.12.2018;aquavit;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,023915092;1
Крю Буржуа;45;30.12.2018;крю буржуа;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004829436;1
Chateau Tamagne;45;30.12.2018;chateau tamagne;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,018057452;1
mavam;1;30.12.2018;mavam;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,021375325;1
Jagermeister;11;30.12.2018;jagermeister;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024560909;1
Jack Daniels;19;30.12.2018;jack daniels;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024734547;1
Asti;45;30.12.2018;asti;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024987318;1
Pierre Laforest  La Clape Languedoc;0;30.12.2018;pierre laforest la clape languedoc;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020116;1
Floris Fraise;1;30.12.2018;floris fraise;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,015086498;1
Lovrano;0;30.12.2018;lovrano;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004469369;1
Пино гриджо;45;30.12.2018;пино гриджо;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,022681294;1
Aviva;21;30.12.2018;aviva;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,008467965;1
Crystal Brut;0;30.12.2018;crystal brut;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004416226;1
Mondoro;3;30.12.2018;mondoro;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011771544;1
Suvorov vin;0;30.12.2018;suvorov vin;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,010643998;1
